,Name,Latitude,Longitude
0,Novant Health Presbyterian Medical Center,35.2121739,-80.82441349999999
1,Carolinas Medical Center-Lincoln Collins Beverly C,35.490295,-81.203192
2,Carolinas HealthCare System Waxhaw,34.9639819,-80.76389789999999
3,Lake Norman Regional Medical Center,35.549386,-80.85410999999999
4,Carolinas HealthCare System NorthEast,35.4375454,-80.6019365
5,Carolinas Medical Center,34.9686997,-80.5276097
6,Carolinas Healthcare System,35.3491903,-80.8430118
7,BSA Caromont Health,35.2708972,-81.14060090000001
8,Novant Health Matthews Medical Center,35.120014,-80.7140524
9,Atrium Health Pineville,35.0921987,-80.8722339
10,Concentra,35.2457928,-80.8961868
11,Heather Shiflett,35.2231689,-80.9228342
12,Carolinas HealthCare System,35.4699183,-81.24033109999999
13,Novant Health,35.3190003,-80.7766015
14,Carolinas Medical Center-Mercy,35.21062810000001,-80.82142910000002
15,Atrium Health University City,35.3058456,-80.7470211
16,Carolinas ContinueCARE Hospital at Pineville,35.093991,-80.872816
17,Hospital,35.0928211,-80.87017519999999
18,The Heart Center at Piedmont Medical Center,34.9572287,-81.0505183
19,Carolinas ContinueCARE Hospital at University,35.3066279,-80.7473505
20,Atrium Health Foundation,35.2112003,-80.8575412
21,One Day Surgery,35.205057,-80.8380085
22,novant hospital,35.406135,-80.8756054
23,W.G. (Bill) Hefner Veterans Health Care Center,35.1979131,-80.91259
24,"Amisub Of South Carolina, Inc",34.9567739,-81.05158709999999
25,C M C,35.156507,-80.828124
27,Presbyterian Hospital Resource Lib,35.212018,-80.824243
29,Levine Children's Hospital : Pediatric Resource Center,35.1973284,-80.83905279999999
30,Novant Health Hemby Children's Hospital,35.2128148,-80.82418349999999
31,Carolinas healthcare system,35.2637606,-81.030283
32,Novant Health Charlotte Orthopedic Hospital,35.2104052,-80.8235914
33,Lakemont Family and Pediatric Medicine,35.4896784,-81.2037405
34,Carolinas Healthcare Lab Network,35.223386,-80.91896299999999
35,St. Jude Affiliate Clinic at Novant Health Hemby Children's Hospital,35.214334,-80.8243169
36,Medicaid Office,34.9343895,-80.9975886
38,CaroMont Regional Medical Center,35.2714334,-81.1400038
39,Novant Health Huntersville Medical Center,35.4063812,-80.8599153
