,Name,Latitude,Longitude
0,Iredell Statesville Schools,35.5807139,-80.89766689999999
1,Mooresville City Schools Superintendent,35.59009959999999,-80.8014783
2,Kannapolis City Schools Central Office,35.4953825,-80.616723
3,Matthews Charter Academy,35.1094325,-80.6788938
4,Forest Park Elementary School,35.4804254,-80.6041566
5,Rocky River Elementary School,35.5494584,-80.7825743
6,Faith Elementary School,35.5896714,-80.4622023
7,Primrose School at Eastfield Village,35.3858202,-80.7844877
8,Primrose School at Park Crossing,35.0929541,-80.8647917
9,Charlotte Mecklenburg Schools,35.16128399999999,-80.8721209
10,Charlotte-Mecklenburg Schools,35.3080846,-80.9284637
13,Hickory Grove Christian School,35.2220526,-80.7252482
14,China Grove Elementary School,35.567026,-80.585715
15,Mooresville Intermediate School,35.5531794,-80.7831185
16,Lincoln Charter School,35.486528,-80.9978211
17,Knollwood Elementary School,35.6155281,-80.5743473
18,Pitts School Road Elementary School,35.3433111,-80.6466971
19,Charlotte Christian School,35.1406477,-80.76926999999999
